bname,btype,ra,dec,catalogue,nt,nb,z,fieldsize,countingmag,bgb,bgb_err
083918.74+361856.1,bllac,129.828125,36.3155899048,plotkin,14,21,0.335,77.9428561517,-19.1837,-150.235487481,-139.900045599
BZUJ1428+3912,uncertain,217.05792,39.20522,bzcat,17,22,0.26,98.6502277935,-19.1837,-81.5335586891,-105.905784526
115709.53+282200.7,bllac,179.289733887,28.3668708801,plotkin,22,19,0.3,86.3095856919,-19.1837,62.3166521077,123.083056741
BZBJ0819+1429,bllac,124.88158,14.49378,bzcat,2,2,0.494,54.961480669,-20.0384365365,0.0,0.0
BZBJ1626+3513,bllac,246.60771,35.22819,bzcat,9,4,0.497,54.6706636704,-20.054312972,158.441513049,108.668241092
001736.90+145101.9,bllac,4.40377998352,14.8505296707,plotkin,17,23,0.303,85.5161500922,-19.1837,-124.98716384,-139.537904824
BZUJ1415+1320,uncertain,213.99508,13.33992,bzcat,37,12,0.247,103.526619642,-19.1837,402.500451079,108.337690151
BZQJ2118+0013,fsrq,319.57246,0.22131,bzcat,18,9,0.463,58.190455308,-19.8689385409,246.452482311,134.737375018
BZBJ1257+2412,bllac,194.38304,24.21114,bzcat,58,60,0.141,177.01771069,-19.1837,-41.9206944154,-213.136947604
BZBJ0927+5545,bllac,141.91929,55.76333,bzcat,48,35,0.221,115.009086604,-19.1837,203.94555622,133.256702518
125820.79+612045.5,candidate,194.586654663,61.3460006714,plotkin,27,25,0.224,113.547559721,-19.1837,31.4710889282,104.67390153
J154929.4+023701.1,fsrq,237.3725,2.61697222222,chen,15,8,0.414,64.2944197655,-19.5783563352,155.41117362,100.571025448
172918.78+525559.2,bllac,262.328277588,52.9331283569,plotkin,20,12,0.349,75.0694043475,-19.1837,173.915070913,115.607745974
002200.95+000657.9,bllac,5.5039601326,0.116099998355,plotkin,28,24,0.306,84.7383754453,-19.1837,83.5608072668,139.448942998
BZBJ0416+0105,bllac,64.21858,1.08986,bzcat,36,25,0.287,89.9407816974,-19.1837,184.11319968,122.138349386
BZBJ0153-0118,candidate,28.39308,-1.30244,bzcat,63,51,0.255,100.46663079,-19.1837,194.725870662,160.796295226
BZQJ0047+2435,fsrq,11.93283,24.58781,bzcat,5,5,0.62,45.203313322,-20.6386994217,0.0,0.0
100408.18+144909.9,bllac,151.034103394,14.819439888,plotkin,2,0,0.712,40.2934827428,-21.00832047,156.422813512,110.607632167
BZBJ1647+2909,bllac,251.86188,29.16386,bzcat,60,81,0.132,188.709446717,-19.1837,-435.900661432,-260.822795667
BZUJ0748+2115,uncertain,117.18117,21.26253,bzcat,31,23,0.263,97.593696948,-19.1837,130.835844083,111.965501676
102130.75+141137.4,bllac,155.378158569,14.1937303543,plotkin,10,6,0.51,53.4505665615,-20.1220988455,147.590812395,138.747139015
BZQJ2256+2618,fsrq,344.16321,26.31214,bzcat,94,89,0.121,205.365091553,-19.1837,102.546781928,255.676911777
BZUJ1536+3742,uncertain,234.1165,37.70192,bzcat,2,2,0.679,41.898452391,-20.8812392858,0.0,0.0
BZQJ0825+2704,fsrq,126.44746,27.07278,bzcat,1,1,0.693,41.1984828074,-20.9358543879,0.0,0.0
BZBJ1544+0458,bllac,236.07779,4.97267,bzcat,23,13,0.326,79.921476299,-19.1837,212.84383087,120.346200936
BZQJ1545+3452,fsrq,236.29583,34.87969,bzcat,4,10,0.516,52.9084831337,-20.1528451019,-226.636921894,-180.757844534
BZUJ0304+0002,uncertain,46.24571,0.04325,bzcat,3,5,0.563,49.0677720725,-20.3827889139,-90.8081479077,-146.775296918
BZBJ0810+4911,bllac,122.7275,49.18436,bzcat,159,108,0.115,215.794828046,-19.1837,1039.09532902,311.348843915
161541.21+471111.7,candidate,243.921737671,47.1866111755,plotkin,49,37,0.199,127.078722108,-19.1837,198.643720683,142.908860294
BZBJ1643+2131,bllac,250.83025,21.51833,bzcat,82,76,0.154,162.546066447,-19.1837,94.7568018378,183.114778435
BZUJ0725-0054,uncertain,111.461,-0.91569,bzcat,4,20,0.128,194.43435768,-19.1837,-330.671912105,-145.845151323
022040.94-010410.8,bllac,35.1706085205,-1.06968998909,plotkin,31,23,0.35,74.8730284552,-19.1837,174.073655801,148.967160621
J164544.7+375526.3,fsrq,251.43625,37.9239722222,chen,3,2,0.598,46.605993908,-20.5426506785,52.1103114657,109.058802384
BZQJ1059+2057,fsrq,164.91267,20.95611,bzcat,5,7,0.392,67.5374362551,-19.4374489947,-51.679435921,-96.0945725095
133026.52+241521.5,bllac,202.610519409,24.255979538,plotkin,18,13,0.463,58.190455308,-19.8689385409,136.918045728,142.210335364
BZQJ1119+0410,fsrq,169.92842,4.17442,bzcat,0,1,0.736,39.2185523759,-21.0972664982,-85.9580569881,-140.981695761
140121.13+520928.9,bllac,210.33807373,52.1580314636,plotkin,8,3,0.482,56.1614635842,-19.9740246104,148.546069484,94.2770307182
123123.90+142124.4,bllac,187.849624634,14.3568000793,plotkin,33,29,0.256,100.097638494,-19.1837,64.9722460825,118.262428063
083148.87+042939.0,bllac,127.953659058,4.49419021606,plotkin,59,51,0.174,144.512217896,-19.1837,129.041006962,156.54534384
163709.50+432600.3,bllac,249.289611816,43.4334411621,plotkin,21,9,0.343,76.2719283916,-19.1837,259.446173563,112.779533732
BZBJ1402+1559,bllac,210.68554,15.99953,bzcat,29,21,0.244,104.726095138,-19.1837,128.41911823,105.860612004
BZQJ1143+1843,fsrq,175.77513,18.72856,bzcat,13,6,0.374,70.4776388998,-19.3166526407,166.728809499,98.6093322588
081827.35+281402.8,bllac,124.613967896,28.2341098785,plotkin,40,26,0.225,113.069086104,-19.1837,220.519017953,119.89670818
BZQJ2030-0503,fsrq,307.59342,-5.05356,bzcat,6,3,0.543,50.6195502692,-20.287213882,125.93993833,119.255656887
BZQJ1301+5018,fsrq,195.34779,50.30836,bzcat,28,14,0.386,68.4867351809,-19.3977595329,352.068791918,154.326196302
BZBJ1445+0039,bllac,221.32029,0.65953,bzcat,30,10,0.306,84.7383754453,-19.1837,417.804036334,126.898304278
BZQJ1618+0819,fsrq,244.61221,8.33075,bzcat,8,10,0.446,60.1543933351,-19.7714804109,-50.9209597543,-110.687221812
BZQJ1604+5714,fsrq,241.15562,57.24353,bzcat,0,0,0.72,39.9270291266,-21.0382829752,0.0,0.0
J074541.7+314256.6,fsrq,116.42375,31.7157222222,chen,8,6,0.461,58.4138942958,-19.8576459583,54.2997965417,94.5970405989
