bname,other_name,ra,dec,z,rmag,btype,flux_1400MHz,flux_143GHz,flux_xray,flux_fermi,aro,aox,arx,catalog
5BZQJ0000-3221,PKS 2357-326,00 00 20.39,-32 21 01.0,1.275,18.2,fsrq,521.0,0,0.05,0.0,0.707,1.578,1.026,bzcat
5BZQJ0001-1551,PKS 2358-161,00 01 05.29,-15 51 06.98,2.044,18.1,fsrq,348.0,0,0.0,0.0,0.661,-9.9,-9.9,bzcat
5BZQJ0001+1914,TEX 2358+189,00 01 08.62,+19 14 34.18,3.1,21.6,fsrq,265.0,0,0.0,0.0,0.917,-9.9,-9.9,bzcat
5BZBJ0001-0746,CRATESJ000117-07,00 01 18.0,-07 46 26.68,0.0,17.9,bllac,208.0,0,0.35,5.0E-10,0.553,1.411,0.844,bzcat
5BZGJ0001-1031,SDSSJ00019-1031,00 01 57.25,-10 31 17.29,0.252,17.8,bllac_gal,41.0,0,0.0,0.0,0.393,-9.9,-9.9,bzcat
5BZBJ0002-0024,PKS0000-006,00 02 57.16,-00 24 47.08,0.523,19.7,bllac,178.0,0,0.0,0.0,0.757,-9.9,-9.9,bzcat
5BZQJ0003+2129,GB6J0003+2129,00 03 19.33,+21 29 44.59,0.45,20.1,fsrq,83.0,0,0.0,0.0,0.767,-9.9,-9.9,bzcat
5BZBJ0004-1148,CGRaBSJ0004-1148,00 04 04.87,-11 48 57.99,0.0,18.8,bllac,459.0,308,0.0,0.0,0.797,-9.9,-9.9,bzcat
5BZQJ0004+4615,3EGJ0004+4615,00 04 16.17,+46 15 18.21,1.81,20.4,fsrq,120.0,0,0.0,0.0,0.735,-9.9,-9.9,bzcat
5BZQJ0004-4736,PKS 0002-478,00 04 35.64,-47 36 19.51,0.884,15.9,fsrq,909.0,0,0.85,9.0E-10,0.564,1.469,0.882,bzcat
5BZQJ0004+2019,CRATESJ000435+20,00 04 35.75,+20 19 42.59,0.677,21.6,fsrq,55.0,0,0.0,0.0,0.834,-9.9,-9.9,bzcat
5BZQJ0005-1648,1RXSJ000517.0-16,00 05 17.93,-16 48 04.71,0.78,18.4,fsrq,263.0,0,0.44,0.0,0.686,1.2,0.888,bzcat
5BZQJ0005+0524,UM 18,00 05 20.21,+05 24 10.9,1.9,16.2,fsrq,127.0,0,0.26,0.0,0.432,1.605,0.901,bzcat
5BZQJ0005+3820,S40003+380,00 05 57.18,+38 20 15.21,0.229,17.6,fsrq,572.0,685,0.75,1.0E-9,0.638,1.325,0.877,bzcat
5BZBJ0006-0623,PKS0003-066,00 06 13.89,-06 23 35.19,0.347,17.9,bllac,2051.0,1212,0.82,0.0,0.799,1.206,0.954,bzcat
5BZGJ0006+1051,1RXSJ000620.3+10,00 06 20.28,+10 51 51.69,0.168,15.6,bllac_gal,12.0,0,1.72,0.0,0.105,1.541,0.598,bzcat
5BZQJ0006+2422,BZQJ0006+2422,00 06 48.78,+24 22 36.51,1.684,18.8,fsrq,184.0,0,0.0,0.0,0.658,-9.9,-9.9,bzcat
