id , Source name , aro-aox-arx
1 , "5BZQJ0000-3221 " , 1.578
2 , "5BZQJ0001-1551 " , -9.9
3 , "5BZQJ0001+1914 " , -9.9
4 , "5BZBJ0001-0746 " , 1.411
5 , "5BZBJ0001-0011 " , -9.9
6 , "5BZGJ0001-1031 " , -9.9
7 , "5BZBJ0002-0024 " , -9.9
8 , "5BZQJ0003+2129 " , -9.9
9 , "5BZBJ0004-1148 " , -9.9
10 , "5BZQJ0004+4615 " , -9.9
11 , "5BZQJ0004-4736 " , 1.469
12 , "5BZQJ0004+2019 " , -9.9
13 , "5BZQJ0005-1648 " , 1.2
14 , "5BZQJ0005+0524 " , 1.605
15 , "5BZQJ0005+3820 " , 1.325
16 , "5BZBJ0006-0623 " , 1.206
17 , "5BZQJ0006-4245 " , -9.9
18 , "5BZGJ0006+1051 " , 1.541
19 , "5BZQJ0006+2422 " , -9.9
20 , "5BZQJ0007-6113 " , -9.9
21 , "5BZBJ0007+4712 " , 1.244
22 , "5BZQJ0008-2339 " , 1.646
23 , "5BZBJ0008-2339 " , 1.038
24 , "5BZQJ0008-4619 " , -9.9
25 , "5BZBJ0009+0628 " , 1.149
26 , "5BZQJ0009+0625 " , 1.365
27 , "5BZBJ0009+5030 " , 1.262
28 , "5BZQJ0010+2047 " , 1.06
29 , "5BZQJ0010+1058 " , 1.258
30 , "5BZQJ0010+1724 " , 1.377
31 , "5BZQJ0010-3027 " , 1.281
32 , "5BZQJ0010-2945 " , -9.9
33 , "5BZQJ0011-2612 " , -9.9
34 , "5BZQJ0011-3620 " , 1.207
35 , "5BZQJ0011+0057 " , 0.896
36 , "5BZGJ0012-1628 " , 1.715
37 , "5BZQJ0012+3353 " , -9.9
38 , "5BZBJ0012-3954 " , -9.9
39 , "5BZQJ0013-1513 " , -9.9
40 , "5BZQJ0013-0423 " , 1.053
41 , "5BZGJ0013-1854 " , 1.634
42 , "5BZBJ0013+1910 " , -9.9
43 , "5BZBJ0014-5022 " , 0.747
44 , "5BZGJ0014+0854 " , 1.453
45 , "5BZQJ0014-3059 " , 1.235
46 , "5BZBJ0014+5802 " , 1.43
47 , "5BZQJ0015-1812 " , 1.004
48 , "5BZBJ0015+3536 " , 0.762
49 , "5BZQJ0015+1700 " , -9.9
50 , "5BZQJ0016-0015 " , 1.05
51 , "5BZQJ0017+8135 " , 1.564
52 , "5BZQJ0017-0512 " , 1.278
53 , "5BZBJ0017+1451 " , -9.9
54 , "5BZQJ0017-2748 " , -9.9
55 , "5BZBJ0018+2947 " , 0.721
56 , "5BZBJ0019-8152 " , 1.691
57 , "5BZBJ0019+2021 " , 0.995
58 , "5BZQJ0019+2602 " , 1.407
59 , "5BZQJ0019-3031 " , -9.9
60 , "5BZQJ0019+7327 " , 1.585
61 , "5BZBJ0021-2550 " , 1.588
62 , "5BZBJ0021-0900 " , -9.9
63 , "5BZBJ0022-5140 " , 1.368
64 , "5BZGJ0022+0006 " , 1.137
65 , "5BZQJ0022+4525 " , 0.804
66 , "5BZBJ0022-1853 " , 1.155
67 , "5BZBJ0022+0608 " , 1.356
68 , "5BZUJ0023+4456 " , -9.9
69 , "5BZBJ0024+1602 " , -9.9
70 , "5BZQJ0024+2439 " , -9.9
71 , "5BZQJ0024+0349 " , -9.9
72 , "5BZQJ0024-0412 " , -9.9
73 , "5BZQJ0025-2227 " , -9.9
74 , "5BZBJ0026-4601 " , 0.974
75 , "5BZQJ0026-1112 " , -9.9
76 , "5BZQJ0027+2241 " , 1.478
77 , "5BZGJ0027+2607 " , 1.22
78 , "5BZBJ0028+2408 " , -9.9
79 , "5BZUJ0028+0035 " , -9.9
80 , "5BZBJ0028-7045 " , -9.9
81 , "5BZQJ0029+0509 " , 1.466
82 , "5BZQJ0029+0554 " , 1.166
83 , "5BZBJ0030-0000 " , -9.9
84 , "5BZQJ0030-4224 " , 1.243
85 , "5BZQJ0031-3922 " , -9.9
86 , "5BZQJ0031-4108 " , 1.294
87 , "5BZQJ0032-2649 " , 1.36
88 , "5BZBJ0032-2849 " , 1.786
89 , "5BZBJ0033-1921 " , 1.144
90 , "5BZQJ0034+2754 " , -9.9
91 , "5BZBJ0035+1515 " , 1.251
92 , "5BZBJ0035+5950 " , 1.447
93 , "5BZQJ0036-0932 " , -9.9
94 , "5BZQJ0037-2145 " , -9.9
95 , "5BZBJ0037+2141 " , -9.9
96 , "5BZBJ0037+1238 " , 1.755
97 , "5BZBJ0038+0013 " , -9.9
98 , "5BZQJ0038-2459 " , 0.922
99 , "5BZQJ0038-0329 " , 1.335
100 , "5BZQJ0038+4137 " , 0.965
101 , "5BZQJ0038+1856 " , -9.9
102 , "5BZQJ0039-0942 " , -9.9
103 , "5BZQJ0039-1111 " , 1.074
104 , "5BZBJ0039+1411 " , -9.9
105 , "5BZUJ0040+4050 " , 0.975
106 , "5BZBJ0040-2719 " , 0.827
107 , "5BZGJ0040-2340 " , 1.743
108 , "5BZBJ0040-3225 " , -9.9
109 , "5BZQJ0040-0146 " , 1.235
110 , "5BZQJ0042-4030 " , -9.9
111 , "5BZQJ0042+2320 " , -9.9
112 , "5BZBJ0042+3641 " , 1.078
113 , "5BZQJ0042+1509 " , 0.874
114 , "5BZQJ0042+1009 " , -9.9
115 , "5BZUJ0043-2639 " , 1.499
116 , "5BZQJ0043+0025 " , -9.9
117 , "5BZQJ0043+3426 " , -9.9
118 , "5BZQJ0044-3752 " , -9.9
119 , "5BZQJ0044-8422 " , -9.9
120 , "5BZBJ0045+2127 " , 1.323
121 , "5BZQJ0045-2243 " , 1.411
122 , "5BZBJ0045+1217 " , 1.441
123 , "5BZQJ0046+3900 " , -9.9
124 , "5BZBJ0047+5657 " , -9.9
125 , "5BZBJ0047+2017 " , 1.226
126 , "5BZQJ0047+2435 " , -9.9
127 , "5BZQJ0047-8256 " , -9.9
128 , "5BZBJ0047+3948 " , 1.542
129 , "5BZQJ0048+2235 " , 1.523
130 , "5BZGJ0048+3157 " , 2.378
131 , "5BZUJ0049-4457 " , 1.437
132 , "5BZQJ0049-3116 " , -9.9
133 , "5BZQJ0049-2509 " , 1.053
134 , "5BZQJ0049+5128 " , 0.996
135 , "5BZBJ0049+0237 " , 1.325
136 , "5BZQJ0049-5738 " , 1.446
137 , "5BZQJ0050-0452 " , -9.9
138 , "5BZBJ0050-0929 " , 1.447
139 , "5BZQJ0051-0650 " , 1.096
140 , "5BZQJ0051-4226 " , 1.115
141 , "5BZBJ0051-6242 " , 1.258
142 , "5BZQJ0052+4402 " , -9.9
143 , "5BZQJ0052-2825 " , 1.173
144 , "5BZBJ0054-2455 " , 1.304
145 , "5BZGJ0056-0936 " , 1.441
146 , "5BZBJ0056-2117 " , 1.565
147 , "5BZBJ0056+1625 " , -9.9
148 , "5BZQJ0057-0024 " , -9.9
149 , "5BZBJ0057-2212 " , 1.077
150 , "5BZBJ0058-3234 " , 1.449
151 , "5BZQJ0058-0539 " , -9.9
152 , "5BZBJ0058+1723 " , 0.767
153 , "5BZUJ0058+3311 " , -9.9
154 , "5BZQJ0058+0620 " , 0.894
155 , "5BZUJ0058-5659 " , 1.283
156 , "5BZBJ0058-5219 " , -9.9
157 , "5BZQJ0059+0006 " , 1.337
158 , "5BZGJ0059-0150 " , 1.386
159 , "5BZQJ0100-3337 " , 1.347
160 , "5BZUJ0100+0745 " , -9.9
161 , "5BZQJ0100+3345 " , -9.9
162 , "5BZBJ0100-0055 " , -9.9
163 , "5BZQJ0102-8012 " , 1.163
164 , "5BZQJ0102-7546 " , 1.371
165 , "5BZQJ0102+4214 " , -9.9
166 , "5BZUJ0102+5824 " , 1.424
167 , "5BZQJ0102-2646 " , 1.288
168 , "5BZGJ0103+1526 " , -9.9
169 , "5BZGJ0103+4322 " , -9.9
170 , "5BZUJ0103-6439 " , 1.604
171 , "5BZQJ0104-2416 " , -9.9
172 , "5BZBJ0105+3928 " , -9.9
173 , "5BZUJ0106+3402 " , -9.9
174 , "5BZGJ0106+2539 " , -9.9
175 , "5BZQJ0106-0155 " , -9.9
176 , "5BZQJ0106-2718 " , -9.9
177 , "5BZQJ0106-1034 " , 1.169
178 , "5BZQJ0106-4034 " , 1.106
179 , "5BZQJ0107+2611 " , -9.9
180 , "5BZQJ0108-0037 " , -9.9
181 , "5BZQJ0108+0135 " , 1.325
182 , "5BZBJ0109+1816 " , 1.165
183 , "5BZQJ0109+6133 " , 1.617
184 , "5BZGJ0110+4149 " , 1.606
185 , "5BZBJ0110-0047 " , -9.9
186 , "5BZUJ0110+6805 " , 2.111
187 , "5BZBJ0110-0415 " , 1.312
188 , "5BZQJ0110-1648 " , 1.359
189 , "5BZBJ0110-1255 " , 1.03
190 , "5BZQJ0110-0741 " , -9.9
191 , "5BZBJ0111+0536 " , 0.99
192 , "5BZUJ0111+3906 " , 1.208
193 , "5BZQJ0111-1317 " , -9.9
194 , "5BZBJ0112+2244 " , 1.626
195 , "5BZQJ0112+2020 " , 1.399
196 , "5BZQJ0112+3522 " , 1.205
197 , "5BZQJ0112+3818 " , 1.475
198 , "5BZQJ0112-6634 " , -9.9
199 , "5BZBJ0112-3201 " , 0.758
200 , "5BZQJ0112+3208 " , 1.164
201 , "5BZQJ0113-3551 " , -9.9
202 , "5BZQJ0113+4948 " , 1.335
203 , "5BZGJ0113+0222 " , 1.868
204 , "5BZQJ0113+1324 " , 1.216
205 , "5BZBJ0114+1325 " , 1.453
206 , "5BZBJ0115-3400 " , 0.915
207 , "5BZQJ0115-0127 " , 1.246
208 , "5BZQJ0115-2804 " , -9.9
209 , "5BZBJ0115+0356 " , 1.535
210 , "5BZBJ0115+2519 " , 1.249
211 , "5BZQJ0115-3049 " , -9.9
212 , "5BZQJ0116-1136 " , 1.199
