id , Source name , Other name , RA (J2000.0) , Dec (J2000.0) , LII , BII , Redshift , Rmag , Source classification , Flux density 1.4/0.843GHz(mJy) , Flux density143GHz(mJy) , X-ray flux0.1-2.4 keV(1.e-12 cgs) , Comment on redshift , Comment on rmag , Commenton radio flux , Fermi flux1-100 GeV(ph/cm2/s) , aro-aox-arx
1 , "5BZQJ0000-3221 " , "PKS 2357-326 " , "00 00 20.39" , "-32 21 01.0" , "4.64" , "-77.76" , 1.275 , 18.2 , 7211 , 521 , 0 , 0.05 , ". " , " " , " " , 0 , 0.707
2 , "5BZQJ0001-1551 " , "PKS 2358-161 " , "00 01 05.29" , "-15 51 06.98" , "74.36" , "-73.77" , 2.044 , 18.1 , 7211 , 348 , 0 , 0 , ". " , " " , " " , 0 , 0.661
3 , "5BZQJ0001+1914 " , "TEX 2358+189 " , "00 01 08.62" , "+19 14 34.18" , "106.86" , "-42.06" , 3.1 , 21.6 , 7211 , 265 , 0 , 0 , ". " , " " , " " , 0 , 0.917
4 , "5BZBJ0001-0746 " , "CRATESJ000117-07" , "00 01 18.0" , "-07 46 26.68" , "89.08" , "-67.29" , 0 , 17.9 , 7300 , 208 , 0 , 0.35 , ". " , " " , " " , 5e-10 , 0.553
5 , "5BZBJ0001-0011 " , "SDSSJ00013-0011 " , "00 01 21.48" , "-00 11 39.91" , "96.81" , "-60.5" , 0.462 , 19.6 , 7300 , 111 , 0 , 0 , " ? " , " " , " " , 0 , 0.706
6 , "5BZGJ0001-1031 " , "SDSSJ00019-1031 " , "00 01 57.25" , "-10 31 17.29" , "85.52" , "-69.72" , 0.252 , 17.8 , 7309 , 41 , 0 , 0 , ". " , " " , " " , 0 , 0.393
7 , "5BZBJ0002-0024 " , "PKS0000-006 " , "00 02 57.16" , "-00 24 47.08" , "97.39" , "-60.86" , 0.523 , 19.7 , 7300 , 178 , 0 , 0 , ". " , " " , " " , 0 , 0.757
8 , "5BZQJ0003+2129 " , "GB6J0003+2129 " , "00 03 19.33" , "+21 29 44.59" , "108.26" , "-40.01" , 0.45 , 20.1 , 7211 , 83 , 0 , 0 , ". " , " " , " " , 0 , 0.767
9 , "5BZBJ0004-1148 " , "CGRaBSJ0004-1148" , "00 04 04.87" , "-11 48 57.99" , "84.66" , "-71.08" , 0 , 18.8 , 7300 , 459 , 308 , 0 , ". " , " " , " " , 0 , 0.797
10 , "5BZQJ0004+4615 " , "3EGJ0004+4615 " , "00 04 16.17" , "+46 15 18.21" , "114.48" , "-15.84" , 1.81 , 20.4 , 7211 , 120 , 0 , 0 , ". " , " " , " " , 0 , 0.735
11 , "5BZQJ0004-4736 " , "PKS 0002-478 " , "00 04 35.64" , "-47 36 19.51" , "323.94" , "-67.57" , 0.884 , 15.9 , 7211 , 909 , 0 , 0.85 , ". " , " " , " " , 9e-10 , 0.564
12 , "5BZQJ0004+2019 " , "CRATESJ000435+20" , "00 04 35.75" , "+20 19 42.59" , "108.27" , "-41.21" , 0.677 , 21.6 , 7211 , 55 , 0 , 0 , ". " , " " , " " , 0 , 0.834
13 , "5BZQJ0005-1648 " , "1RXSJ000517.0-16" , "00 05 17.93" , "-16 48 04.71" , "74.61" , "-75.15" , 0.78 , 18.4 , 7211 , 263 , 0 , 0.44 , ". " , " " , " " , 0 , 0.686
14 , "5BZQJ0005+0524 " , "UM 18 " , "00 05 20.21" , "+05 24 10.9" , "102.31" , "-55.62" , 1.9 , 16.2 , 7211 , 127 , 0 , 0.26 , ". " , " " , " " , 0 , 0.432
15 , "5BZQJ0005+3820 " , "S40003+380 " , "00 05 57.18" , "+38 20 15.21" , "113.21" , "-23.68" , 0.229 , 17.6 , 7211 , 572 , 685 , 0.75 , ". " , " " , " " , 1e-9 , 0.638
16 , "5BZBJ0006-0623 " , "PKS0003-066 " , "00 06 13.89" , "-06 23 35.19" , "93.5" , "-66.65" , 0.347 , 17.9 , 7300 , 2051 , 1212 , 0.82 , ". " , " " , " " , 0 , 0.799
17 , "5BZQJ0006-4245 " , "Q 0003-4302 " , "00 06 19.73" , "-42 45 18.61" , "330.43" , "-71.89" , 1.77 , 18.5 , 7211 , 246 , 0 , 0 , " ? " , " " , " " , 0 , 0.657
18 , "5BZGJ0006+1051 " , "1RXSJ000620.3+10" , "00 06 20.28" , "+10 51 51.69" , "105.37" , "-50.47" , 0.168 , 15.6 , 7309 , 12 , 0 , 1.72 , ". " , " " , " " , 0 , 0.105
19 , "5BZQJ0006+2422 " , "BZQJ0006+2422 " , "00 06 48.78" , "+24 22 36.51" , "110.11" , "-37.39" , 1.684 , 18.8 , 7211 , 184 , 0 , 0 , ". " , " " , " " , 0 , 0.658
20 , "5BZQJ0007-6113 " , "CRATESJ000717-61" , "00 07 20.58" , "-61 13 06.31" , "312.19" , "-55.12" , 0.857 , 19.3 , 7211 , 87 , 0 , 0 , ". " , " " , " " , 0 , 0.685
21 , "5BZBJ0007+4712 " , "RXJ00079+4712 " , "00 07 59.97" , "+47 12 07.7" , "115.31" , "-15.03" , 0.28 , 18.2 , 7300 , 60 , 0 , 0.53 , " ? " , " " , " " , 2.1e-9 , 0.505
22 , "5BZQJ0008-2339 " , "PKS 0005-239 " , "00 08 00.36" , "-23 39 17.89" , "50.04" , "-79.6" , 1.412 , 15.8 , 7211 , 375 , 0 , 0.3 , ". " , " " , " " , 0 , 0.499
23 , "5BZBJ0008-2339 " , "1RXSJ000835.4-23" , "00 08 35.38" , "-23 39 27.79" , "50.31" , "-79.73" , 0.147 , 16.8 , 7300 , 36 , 0 , 2.42 , ". " , " " , " " , 3e-10 , 0.429
