id , Source name , aro-aox-arx
1 , "5BZQJ0000-3221 " , 1.026
2 , "5BZQJ0001-1551 " , -9.9
3 , "5BZQJ0001+1914 " , -9.9
4 , "5BZBJ0001-0746 " , 0.844
5 , "5BZBJ0001-0011 " , -9.9
6 , "5BZGJ0001-1031 " , -9.9
7 , "5BZBJ0002-0024 " , -9.9
8 , "5BZQJ0003+2129 " , -9.9
9 , "5BZBJ0004-1148 " , -9.9
10 , "5BZQJ0004+4615 " , -9.9
11 , "5BZQJ0004-4736 " , 0.882
12 , "5BZQJ0004+2019 " , -9.9
13 , "5BZQJ0005-1648 " , 0.888
14 , "5BZQJ0005+0524 " , 0.901
15 , "5BZQJ0005+3820 " , 0.877
16 , "5BZBJ0006-0623 " , 0.954
17 , "5BZQJ0006-4245 " , -9.9
18 , "5BZGJ0006+1051 " , 0.598
19 , "5BZQJ0006+2422 " , -9.9
20 , "5BZQJ0007-6113 " , -9.9
21 , "5BZBJ0007+4712 " , 0.768
22 , "5BZQJ0008-2339 " , 0.931
23 , "5BZBJ0008-2339 " , 0.641
24 , "5BZQJ0008-4619 " , -9.9
25 , "5BZBJ0009+0628 " , 0.85
26 , "5BZQJ0009+0625 " , 0.93
27 , "5BZBJ0009+5030 " , 0.709
28 , "5BZQJ0010+2047 " , 0.811
29 , "5BZQJ0010+1058 " , 0.743
30 , "5BZQJ0010+1724 " , 0.916
31 , "5BZQJ0010-3027 " , 0.939
32 , "5BZQJ0010-2945 " , -9.9
33 , "5BZQJ0011-2612 " , -9.9
34 , "5BZQJ0011-3620 " , 0.981
35 , "5BZQJ0011+0057 " , 0.853
36 , "5BZGJ0012-1628 " , 0.729
37 , "5BZQJ0012+3353 " , -9.9
38 , "5BZBJ0012-3954 " , -9.9
39 , "5BZQJ0013-1513 " , -9.9
40 , "5BZQJ0013-0423 " , 0.896
41 , "5BZGJ0013-1854 " , 0.573
42 , "5BZBJ0013+1910 " , -9.9
43 , "5BZBJ0014-5022 " , 0.523
44 , "5BZGJ0014+0854 " , 0.818
45 , "5BZQJ0014-3059 " , 0.901
46 , "5BZBJ0014+5802 " , 0.598
47 , "5BZQJ0015-1812 " , 0.87
48 , "5BZBJ0015+3536 " , 0.604
49 , "5BZQJ0015+1700 " , -9.9
50 , "5BZQJ0016-0015 " , 0.951
51 , "5BZQJ0017+8135 " , 0.873
52 , "5BZQJ0017-0512 " , 0.832
53 , "5BZBJ0017+1451 " , -9.9
54 , "5BZQJ0017-2748 " , -9.9
55 , "5BZBJ0018+2947 " , 0.586
56 , "5BZBJ0019-8152 " , 0.77
57 , "5BZBJ0019+2021 " , 0.973
58 , "5BZQJ0019+2602 " , 0.808
59 , "5BZQJ0019-3031 " , -9.9
60 , "5BZQJ0019+7327 " , 1.043
61 , "5BZBJ0021-2550 " , 0.874
62 , "5BZBJ0021-0900 " , -9.9
63 , "5BZBJ0022-5140 " , 0.591
64 , "5BZGJ0022+0006 " , 0.527
65 , "5BZQJ0022+4525 " , 0.851
66 , "5BZBJ0022-1853 " , 0.686
67 , "5BZBJ0022+0608 " , 0.891
68 , "5BZUJ0023+4456 " , -9.9
69 , "5BZBJ0024+1602 " , -9.9
70 , "5BZQJ0024+2439 " , -9.9
71 , "5BZQJ0024+0349 " , -9.9
72 , "5BZQJ0024-0412 " , -9.9
73 , "5BZQJ0025-2227 " , -9.9
74 , "5BZBJ0026-4601 " , 0.602
75 , "5BZQJ0026-1112 " , -9.9
76 , "5BZQJ0027+2241 " , 0.863
77 , "5BZGJ0027+2607 " , 0.736
78 , "5BZBJ0028+2408 " , -9.9
79 , "5BZUJ0028+0035 " , -9.9
80 , "5BZBJ0028-7045 " , -9.9
81 , "5BZQJ0029+0509 " , 0.987
82 , "5BZQJ0029+0554 " , 0.894
83 , "5BZBJ0030-0000 " , -9.9
84 , "5BZQJ0030-4224 " , 0.887
85 , "5BZQJ0031-3922 " , -9.9
86 , "5BZQJ0031-4108 " , 0.893
