bname,ra,dec,z,log_mbh,log_nuLnu_peak,log_L_BLR,log_Lbol,log_nupeak,aro,aox,arx,btype,em_type,catalog
J001130.4+005752.1,00 11 30.4,+00 57 52.1,1.492,8.36,46.18,45.28,46.28,14.95,0.555,1.306,0.809,fsrq,T,chen
J013352.7+011343.6,01 33 52.7,+01 13 43.6,0.308,8.56,44.75,43.88,44.88,14.41,0.475,1.288,0.75,fsrq,T,chen
J074541.7+314256.6,07 45 41.7,+31 42 56.6,0.461,9.66,46.14,45.64,46.64,14.93,0.521,1.666,0.909,fsrq,T,chen
J074625.9+254902.2,07 46 25.9,+25 49 02.2,2.979,9.69,47.42,46.62,47.62,14.55,0.574,1.389,0.85,fsrq,T,chen
J081009.9+384756.9,08 10 09.9,+38 47 56.9,3.946,9.33,47.76,47.08,48.08,15.12,0.05,1.882,0.671,fsrq,T,chen
J081303.8+254211.1,08 13 03.8,+25 42 11.1,2.024,9.68,47.3,46.1,47.1,13.44,0.508,1.377,0.802,fsrq,T,chen
J082455.5+391641.8,08 24 55.5,+39 16 41.8,1.216,8.71,46.81,45.3,46.3,13.64,0.599,1.539,0.918,fsrq,T,chen
J083148.9+042939.2,08 31 48.9,+04 29 39.2,0.174,7.42,45.86,42.58,43.58,12.46,0.602,1.303,0.84,fsrq,T,chen
J083636.9+412554.9,08 36 36.9,+41 25 54.9,1.301,9.29,46.78,45.87,46.87,15.52,0.473,1.183,0.714,fsrq,T,chen
J085220.5+473458.4,08 52 20.5,+47 34 58.4,2.42,9.25,46.83,45.92,46.92,15.3,0.517,1.108,0.718,fsrq,T,chen
J085442.0+575730.1,08 54 42.0,+57 57 30.1,1.317,9.59,46.99,46.11,47.11,13.16,0.59,1.475,0.89,fsrq,T,chen
J090304.0+465104.5,09 03 04.0,+46 51 04.5,1.47,9.47,46.68,45.95,46.95,14.3,0.622,1.497,0.919,fsrq,T,chen
J090910.1+012136.0,09 09 10.1,+01 21 36.0,1.024,9.33,46.72,45.78,46.78,13.98,0.515,1.517,0.855,fsrq,T,chen
J092058.5+444153.9,09 20 58.5,+44 41 53.9,2.19,9.84,47.99,46.72,47.72,12.88,0.446,1.502,0.804,fsrq,T,chen
J092656.7+041613.0,09 26 56.7,+04 16 13.0,1.036,10.14,46.45,45.96,46.96,14.55,0.3,1.242,0.619,fsrq,T,chen
J093035.1+464408.6,09 30 35.1,+46 44 08.6,2.033,9.38,47.13,46.0,47.0,14.99,0.42,1.54,0.8,fsrq,T,chen
