Object Name,RA(deg),DEC(deg),Redshift
SDSS J001130.40+005751.7,2.87668,0.96441,1.490431
UM 338,23.46941,1.22921,0.3081
FBQS J0212+0100,33.10653,1.01559,0.512596
SDSS J074218.21+194719.4,115.57591,19.78874,0.657858
B3 0739+378,115.67578,37.7339,0.806274
FBQS J074541.6+314256,116.42363,31.71573,0.46108
FBQS J074559.3+331334,116.49718,33.22615,0.610597
B2 0743+25,116.60781,25.81726,2.987498
FBQS J0754+3033,118.70355,30.56528,0.796136
2MASX J08013199+4736155,120.38319,47.60446,0.1567
SDSS J080644.41+484149.2,121.6851,48.697,0.369982
FBQS J080856.6+405244,122.23605,40.87914,1.42001
SDSS J081009.94+384757.0,122.54142,38.79915,3.94599
B3 0807+417,122.74581,41.56745,0.50648
SDSS J081303.83+254211.0,123.26597,25.70306,2.025058
FBQS J081409.2+323731,123.53841,32.62555,0.843266
B2 0816+26B,124.81924,26.70089,0.525719
FBQS J082455.4+391641,126.23118,39.27831,1.215921
[HB89] 0829+046,127.95365,4.49419,0.173683
FBQS J083353.8+422401,128.47452,42.40051,0.249153
FBQS J083636.8+412554,129.15372,41.43186,1.303697
2MASSi J0842037+401831,130.51558,40.30871,0.151851
SDSS J084650.00+064149.0,131.70837,6.69694,0.617041
SDSS J085039.95+543753.3,132.66649,54.63149,0.366947
SDSS J085220.45+473458.4,133.08526,47.5829,2.41965
[HB89] 0850+581,133.67498,57.95832,1.319145
[HB89] 0859+470,135.76663,46.85115,1.464988
B3 0905+420,137.14943,41.84617,0.733805
[HB89] 0906+015,137.29205,1.35989,1.024905
[HB89] 0911+053,138.50734,5.13072,0.301766
[HB89] 0917+449,140.24358,44.69833,2.186448
FBQS J092554.7+400414,141.478,40.0706,0.471681
SDSS J092656.71+041613.1,141.73629,4.27033,1.03682
[HB89] 0923+392,141.76256,39.03913,0.695283
B3 0927+469,142.64617,46.73574,2.036009
SBS 0928+559B,143.00034,55.56317,0.266559
SDSS J093256.80+074212.2,143.23672,7.7034,1.00352
SDSS J093309.31+461535.4,143.28884,46.25985,0.778465
WISE J093712.32+500852.1,144.30136,50.1478,0.275468
FBQS J094855.3+403944,147.23059,40.66238,1.249964
SDSS J094857.31+002225.4,147.23883,0.37377,0.585102
SDSS J095556.37+061642.4,148.9849,6.27846,1.28029
[HB89] 0954+556,149.4091,55.38271,0.89961
[HB89] 0955+476,149.58196,47.41884,1.882105
SDSS J095855.09+423704.0,149.72958,42.61781,0.66447
[HB89] 0957+003,150.07366,0.08991,0.905086
SDSS J100556.01+433238.5,151.48342,43.54406,1.58661
FBQS J101027.5+413238,152.6147,41.54418,0.612353
SDSS J101122.59+470042.1,152.84414,47.01173,2.932481
LBQS 1013+0124,153.98773,1.15382,0.779454
SDSS J101725.88+611627.5,154.35786,61.2743,2.800565
B3 1018+456,155.27517,45.39217,0.36388
B3 1019+459,155.64821,45.68485,0.743191
SDSS J102429.00+052952.5,156.12086,5.49793,1.48021
SDSS J102713.07+480313.5,156.8045,48.05376,1.287552
2MASX J10273853+6050158,156.91056,60.83793,0.331515
SBS 1027+555,157.60396,55.27299,0.434792
SBS 1027+534,157.71211,53.17463,1.19748
SDSS J103144.75+602030.3,157.93648,60.34177,1.231173
SDSS J103214.52+635950.2,158.06055,63.99731,0.556117
SDSS J103351.41+605107.3,158.46429,60.85204,1.409276
SBS 1038+528,160.44492,52.55784,0.677998
[HB89] 1038+528 NED02,160.45374,52.56545,2.298929
