bname,ra,dec,classification,InNED,umag,gmag,rmag,imag,zmag,z,f_Zspec,C,Sp-Index,Comments,Zhg,FAGN,logOL,RFlag,Rflux,logRL,XFlag,Xflux,logXL,Ind-RO,Ind-OX,btype,catalog
000157.23-103117.3,0.4885,-10.52148,H,N,20.66,19.74,18.77,18.26,17.86,0.252,R,0.393,1.62,"P08            ",,18.17,29.347,F,32.97,31.822,U,3.811,25.911,0.487,1.32,bllac,plotkin
000257.17-002447.3,0.73824,-0.41315,H,N,21.1,20.63,19.89,19.22,18.85,0.522,R,0.247,2.35,"P08            ",,18.8,29.722,F,159.13,33.146,U,3.373,26.627,0.674,1.188,bllac,plotkin
001736.90+145101.9,4.40378,14.85053,H,Y,18.8,18.33,17.86,17.56,17.28,0.303,R,0.132,1.16,"C05            ",,17.73,29.843,N,58.739,32.236,U,6.946,26.361,0.471,1.337,bllac,plotkin
002142.25-090044.4,5.42608,-9.01234,H,N,20.15,19.79,19.32,18.82,18.52,0.648,R,0.218,1.3,"C05;P08        ",,18.46,30.168,F,41.96,32.752,U,3.976,26.936,0.509,1.241,bllac,plotkin
002200.95+000657.9,5.50396,0.1161,H,Y,20.48,20.04,19.28,18.87,18.55,0.306,R,0.356,1.38,"C05;A07;P08    ",,19.21,29.268,F,1.73,30.714,R,21.14,26.854,0.285,0.927,bllac,plotkin
002401.28+160233.8,6.00536,16.04275,H,Y,19.94,19.33,18.88,18.54,18.27,,U,,1.53,"C05            ",0.501,18.17,29.983,N,57.164,32.665,U,5.115,26.762,0.528,1.237,bllac,plotkin
003514.72+151504.1,8.81135,15.25115,H,Y,17.32,16.93,16.59,16.31,16.05,0.76,T,0.06,0.79,"C05;A07        ",,15.95,31.356,N,17.48,32.506,R,61.78,28.305,0.226,1.172,bllac,plotkin
003808.50+001336.5,9.53543,0.22683,H,Y,20.15,19.7,19.31,18.96,18.63,,U,,1.51,"C05;P08        ",0.563,18.6,29.944,F,89.71,32.961,U,3.339,26.704,0.594,1.244,bllac,plotkin
004054.65-091526.8,10.22772,-9.25746,H,Y,24.35,24.54,20.5,19.2,19.17,4.976,R,,0.6,"C05;D09        ",,20.41,31.461,U,1.02,32.601,U,3.735,29.222,0.225,0.859,bllac,plotkin
005041.30-092905.1,12.67212,-9.48476,H,Y,16.78,16.3,16.03,15.77,15.57,,U,,1.42,"C05;A07;P08    ",0.162,15.7,29.907,F,893.68,32.867,R,46.28,26.558,0.583,1.286,bllac,plotkin
005620.07-093629.7,14.08366,-9.60826,H,Y,18.33,17.55,16.96,16.66,16.3,0.103,R,0.296,1.02,"A07;P08        ",,17.38,29.063,F,99.35,31.516,R,88.89,26.409,0.483,1.019,bllac,plotkin
010058.18-005547.7,15.24244,-0.92994,H,Y,20.26,19.76,19.21,18.88,18.55,0.668,L,0.113,1.79,"C05;P08        ",,18.5,30.171,F,31.81,32.657,U,3.821,26.952,0.489,1.236,bllac,plotkin
011452.77+132537.5,18.71989,13.42709,H,Y,17.8,17.38,17.03,16.78,16.56,,U,,1.0,"C05            ",0.26,16.95,30.001,N,63.435,32.136,U,5.444,26.099,0.42,1.498,bllac,plotkin
012227.38+151023.0,20.61409,15.17308,H,Y,20.34,19.9,19.55,19.25,18.93,,U,,1.82,"C05            ",0.635,19.38,30.051,N,38.027,32.692,U,8.228,27.229,0.52,1.084,bllac,plotkin
012716.31-082128.8,21.81797,-8.35803,H,Y,20.26,19.7,19.14,18.81,18.55,,U,,2.01,"C05;P08        ",0.488,18.5,29.783,F,172.23,33.121,U,3.257,26.537,0.657,1.246,bllac,plotkin
014125.83-092843.7,25.35763,-9.47882,H,Y,18.11,17.59,17.21,16.96,16.68,0.501,L,0.082,1.02,"C05;A07;P08    ",,16.64,30.635,F,517.78,33.622,R,6.992,26.898,0.588,1.435,bllac,plotkin
020106.17+003400.2,30.27574,0.56673,H,Y,18.9,18.62,18.25,17.99,17.8,0.298,R,0.18,0.78,"C05;A07;P08    ",,18.19,29.639,F,13.93,31.599,R,60.59,27.287,0.386,0.903,bllac,plotkin
022039.67-004048.0,35.1653,-0.68002,H,N,21.3,20.37,20.02,19.87,19.91,,U,,1.26,,0.7,19.86,29.698,U,0.945,31.17,R,14.21,27.574,0.29,0.815,bllac,plotkin
022040.94-010410.8,35.17061,-1.06969,H,N,24.59,21.37,19.85,19.25,18.8,0.35,R,0.34,1.53,,,19.77,29.193,F,24.13,31.976,U,7.08,26.519,0.548,1.027,bllac,plotkin
022048.46-084250.3,35.20194,-8.71399,H,Y,18.92,18.62,18.28,18.03,17.8,0.525,T,0.125,0.62,"C05;A07;P08    ",,17.77,30.259,F,57.35,32.707,R,18.18,27.364,0.482,1.112,bllac,plotkin
022509.75+001456.1,36.29066,0.24893,H,N,19.78,19.65,19.65,19.51,19.36,,U,,-0.11,"P08            ",0.678,19.3,29.924,F,3.19,31.671,U,6.038,27.167,0.344,1.058,bllac,plotkin
023813.67-092431.4,39.55699,-9.40872,H,Y,20.86,20.28,19.63,19.22,18.85,0.419,R,0.225,0.75,"C05;A07;P08    ",,18.81,29.604,F,3.03,31.234,R,6.993,26.705,0.321,1.113,bllac,plotkin
024157.36+000944.1,40.48902,0.16226,H,Y,21.15,20.79,20.56,20.03,19.85,,U,,1.27,"C05;A07        ",0.7,19.81,29.718,F,0.67,31.02,R,11.36,27.477,0.256,0.86,bllac,plotkin
024302.93+004627.3,40.76222,0.77425,H,Y,20.59,20.1,19.46,19.0,18.69,0.41,R,0.252,1.2,"C05;P08        ",,18.64,29.603,F,31.38,32.229,U,5.666,26.589,0.517,1.157,bllac,plotkin
024716.82+001638.4,41.82009,0.27735,H,N,19.93,19.89,19.98,20.15,20.42,0.553,T,0.0080,-0.69,,,20.36,29.352,U,0.775,30.882,U,8.98,27.114,0.301,0.859,bllac,plotkin
030235.78-075026.9,45.64908,-7.84083,H,N,21.5,20.75,20.33,20.09,19.64,,U,,1.15,"C05;P08        ",0.7,19.51,29.837,F,5.6,31.943,U,13.77,27.561,0.415,0.874,bllac,plotkin
030433.95-005404.6,46.14149,-0.9013,H,Y,19.44,19.18,18.76,18.43,18.08,0.511,T,0.117,1.08,"C05;A07;P08    ",,17.96,30.12,F,23.28,32.292,R,17.89,27.327,0.428,1.073,bllac,plotkin
031127.79-072736.6,47.86579,-7.46019,H,N,19.91,19.43,19.06,18.98,18.77,0.932,T,0.049,0.94,,,18.89,30.549,X,,,U,17.01,27.975,,0.988,bllac,plotkin
031712.23-075850.3,49.30098,-7.98066,H,Y,19.47,19.05,18.82,18.65,18.53,2.643,R,,0.69,"C05;S09        ",,18.62,31.646,X,,,U,7.95,28.837,,1.078,bllac,plotkin
032343.62-011146.0,50.93176,-1.19613,H,Y,17.48,17.13,16.81,16.61,16.42,,U,,1.26,"C05;A07        ",0.237,16.44,30.008,N,29.797,31.726,R,14.82,26.44,0.338,1.37,bllac,plotkin
035219.85-055044.8,58.08273,-5.84578,H,N,21.27,19.9,19.3,18.93,18.55,0.033,R,0.369,2.54,,,19.45,27.273,X,,,U,5.39,24.163,,1.194,bllac,plotkin
072659.52+373423.0,111.748,37.57308,H,N,19.68,19.38,19.07,18.75,18.53,1.577,T,,1.02,"A07;P08        ",,18.92,31.126,F,9.43,32.819,R,5.505,28.087,0.333,1.167,bllac,plotkin
073346.80+411120.0,113.44504,41.18889,H,N,19.24,18.62,18.25,18.01,17.63,1.878,L,,1.51,"P08            ",,18.09,31.829,F,21.4,33.302,U,4.265,28.176,0.29,1.402,bllac,plotkin
073701.86+284646.0,114.25778,28.77946,H,Y,19.58,19.2,18.68,18.36,18.11,0.272,R,0.194,1.18,"C05;A07;P08    ",,18.55,29.411,F,15.85,31.574,R,17.87,26.662,0.426,1.055,bllac,plotkin
074054.60+322600.9,115.22752,32.4336,H,Y,19.26,18.96,18.67,18.42,18.22,0.946,L,0.07,1.14,"C05;P08        ",,18.54,30.742,F,15.37,32.631,U,4.142,27.379,0.372,1.291,bllac,plotkin
074242.93+301836.1,115.67888,30.31004,H,Y,20.57,20.11,19.48,18.96,18.61,0.495,T,0.25,1.49,"C05;P08        ",,18.54,29.826,F,18.58,32.166,U,4.217,26.664,0.461,1.214,bllac,plotkin
074559.18+222650.9,116.4966,22.44748,H,N,20.27,19.63,19.07,18.64,18.34,,U,,1.92,"A07;P08        ",0.489,18.25,29.893,F,28.17,32.337,R,6.495,26.839,0.481,1.173,bllac,plotkin
075437.07+391047.7,118.65446,39.17994,H,Y,18.9,17.92,17.24,16.82,16.54,0.096,R,0.269,1.4,"C05;A07;P08    ",,17.74,28.877,F,48.81,31.145,R,10.33,25.408,0.447,1.332,bllac,plotkin
075437.85+422115.2,118.65772,42.35425,H,N,22.8,21.23,19.98,19.26,18.79,,U,,3.56,"P08            ",0.662,18.71,30.021,F,1.06,31.172,U,3.98,26.959,0.227,1.175,bllac,plotkin
075445.67+482350.7,118.6903,48.39743,H,Y,18.04,17.47,17.01,16.66,16.39,0.834,L,0.11,1.58,"A07;P08        ",,16.33,31.307,F,298.01,33.815,R,11.32,27.672,0.494,1.396,bllac,plotkin
075602.72+414039.8,119.01134,41.67773,H,N,20.94,20.46,19.91,19.37,19.13,0.579,R,0.276,2.88,"C05;P08        ",,19.07,29.713,F,4.02,31.637,U,4.049,26.818,0.379,1.111,bllac,plotkin
075936.13+132117.8,119.90056,13.35496,H,N,18.96,18.72,18.49,18.32,18.15,,U,,0.76,,0.484,18.11,30.03,F,3.92,31.471,R,93.21,27.985,0.284,0.785,bllac,plotkin
080018.79+164557.1,120.07831,16.76588,H,N,19.74,19.16,18.41,18.03,17.75,0.309,R,0.27,1.4,"P08            ",,18.32,29.635,F,58.24,32.249,U,70.93,27.389,0.515,0.862,bllac,plotkin
080115.01+133642.2,120.31258,13.61173,H,N,19.89,19.4,18.99,18.72,18.43,,U,,1.28,,0.595,18.38,30.105,F,15.26,32.24,U,5.07,26.946,0.42,1.213,bllac,plotkin
080204.81+100637.8,120.52007,10.11051,H,N,17.89,17.58,17.33,17.15,16.97,,U,,1.0,,0.263,17.28,29.88,F,10.6,31.369,U,8.747,26.317,0.293,1.368,bllac,plotkin
080307.30+243750.8,120.78042,24.6308,H,N,19.34,19.0,18.8,18.59,18.39,,U,,0.83,"P08            ",0.464,18.33,29.891,F,26.46,32.264,U,5.526,26.712,0.467,1.221,bllac,plotkin
080323.01+481618.6,120.8459,48.27185,H,N,20.05,19.61,19.28,18.93,18.68,0.5,R,0.214,0.81,"A07;P08        ",,18.62,29.854,F,9.92,31.903,R,28.7,27.509,0.403,0.9,bllac,plotkin
080615.30+133019.7,121.56377,13.50549,H,N,20.57,20.22,19.78,19.37,19.15,,U,,1.98,,0.642,19.1,29.876,F,13.32,32.245,U,9.269,27.293,0.466,0.992,bllac,plotkin
080831.59+092304.0,122.13165,9.38446,H,N,23.01,21.1,20.02,19.57,19.61,,U,,3.13,,0.7,19.58,29.768,U,1.005,31.197,U,5.968,27.198,0.281,0.987,bllac,plotkin
080949.18+521858.2,122.45494,52.31619,H,Y,16.14,15.76,15.44,15.2,15.05,,U,,0.91,"A07;P08        ",0.056,15.59,29.213,F,188.29,31.258,R,186.9,26.168,0.403,1.169,bllac,plotkin
081042.53+325401.4,122.67721,32.90039,H,N,23.32,20.55,19.72,19.41,19.13,,U,,3.39,,0.67,19.07,29.903,U,0.85,31.087,U,6.124,27.16,0.233,1.053,bllac,plotkin
081058.17+284618.6,122.74241,28.77184,H,N,21.62,20.8,19.67,19.23,18.83,0.272,R,0.302,1.38,"P08            ",,19.58,28.999,F,27.28,31.808,U,3.738,25.981,0.553,1.159,bllac,plotkin
081226.00+114158.5,123.10836,11.69959,H,N,21.05,20.53,19.84,19.41,19.07,,U,,1.85,,0.535,19.03,29.693,F,21.48,32.297,U,8.762,27.067,0.513,1.008,bllac,plotkin
081231.27+282056.2,123.13032,28.34895,H,N,19.69,19.38,19.11,18.83,18.6,0.491,T,0.233,0.11,"A07;P08        ",,18.55,29.919,F,2.63,31.31,R,9.458,27.006,0.274,1.118,bllac,plotkin
081251.44+555421.8,123.21435,55.90606,H,N,19.35,18.88,18.41,18.14,17.83,0.383,R,0.122,1.05,"P08            ",,18.29,29.857,F,11.93,31.75,U,4.626,26.43,0.373,1.316,bllac,plotkin
081258.40+153152.2,123.24334,15.53117,H,N,20.83,20.54,20.11,19.77,19.31,,U,,1.66,,0.656,19.26,29.852,F,2.89,31.6,R,32.62,27.863,0.344,0.764,bllac,plotkin
081322.91+343758.5,123.34546,34.63294,H,N,20.15,20.07,19.57,19.17,18.97,,U,,1.52,,0.622,18.88,29.946,U,1.03,31.107,U,5.096,26.998,0.229,1.132,bllac,plotkin
081421.27+294020.9,123.58863,29.67249,H,Y,19.06,18.79,18.47,18.26,17.94,,U,,1.01,"P08            ",0.415,17.89,29.937,F,27.34,32.181,U,6.945,26.692,0.442,1.246,bllac,plotkin
081609.57+491004.4,124.03989,49.16791,H,Y,19.03,18.4,17.93,17.57,17.25,,U,,1.24,"C05;P08        ",0.247,17.46,29.642,F,52.99,32.012,U,3.462,25.85,0.467,1.456,bllac,plotkin
081649.78+205106.4,124.20743,20.85179,H,N,18.72,18.31,17.97,17.72,17.52,,U,,1.25,"P08            ",0.341,17.87,29.916,F,29.8,32.046,U,4.112,26.257,0.419,1.405,bllac,plotkin
081751.00+324340.4,124.46252,32.72792,H,Y,19.35,18.9,18.53,18.28,18.01,0.796,L,0.078,1.33,"C05;A07;P08    ",,17.95,30.606,F,10.19,32.31,R,9.938,27.563,0.336,1.168,bllac,plotkin
081815.99+422245.2,124.56663,42.37923,H,Y,19.2,18.63,18.09,17.72,17.39,,U,,1.42,"C05;A07;P08    ",0.299,17.92,29.764,F,1004.62,33.458,R,7.201,26.364,0.727,1.306,bllac,plotkin
081827.35+281402.8,124.61397,28.23411,H,Y,18.43,17.98,17.57,17.28,17.05,0.225,R,0.14,1.01,"P08            ",,17.23,29.663,F,84.12,32.132,U,6.079,26.003,0.486,1.405,bllac,plotkin
081840.06+315348.1,124.66695,31.89672,H,N,20.01,19.57,19.2,18.92,18.65,,U,,1.23,"C05;P08        ",0.511,18.59,29.86,F,62.33,32.72,U,7.222,26.933,0.563,1.124,bllac,plotkin
081918.84+274730.8,124.82852,27.7919,H,N,19.99,19.38,18.88,18.52,18.16,,U,,1.81,"P08            ",0.521,18.12,30.027,F,150.78,33.12,U,6.033,26.876,0.609,1.21,bllac,plotkin
081931.58+142937.6,124.88162,14.49379,H,N,20.27,19.87,19.37,18.98,18.7,0.494,T,0.286,1.03,,,18.66,29.811,F,6.81,31.729,U,6.963,26.881,0.378,1.125,bllac,plotkin
