Object Name,RA(deg),DEC(deg),Redshift
2MASX J00015724-1031169,0.48849,-10.52149,0.251694
FBQS J0002-0024,0.73825,-0.41314,0.523
2MASS J00173691+1451019,4.40377,14.85052,0.302712
SDSS J001741.84-105613.2,4.42448,-10.93702,1.814509
2MASS J00214226-0900441,5.42607,-9.01238,0.648179
2MASS J00220095+0006575,5.50396,0.11608,0.306
SDSS J002401.28+160233.8,6.00536,16.04277,0.435
WISE J003514.71+151504.2,8.81135,15.25115,1.09026
WISE J003808.49+001336.6,9.53543,0.22682,0.7395
SDSS J0040-0915,10.22772,-9.25744,4.976896
FBQS J0050-0929,12.67216,-9.48478,0.634
WISE J005620.06-093630.6,14.08367,-9.60831,0.103147
SDSS J005713.00+004205.9,14.30423,0.7016,1.543721
FBQS J0100-0055,15.24244,-0.92993,0.67
FBQS J0105-0033,16.41981,-0.55386,1.1788
WISE J011452.77+132537.6,18.71991,13.42708,2.025
SDSS J012227.38+151023.0,20.61411,15.17307,2.075
FBQS J0127-0821,21.81796,-8.35806,0.362
[HB89] 0138-097,25.35763,-9.4788,0.733
2MASS J02010616+0034002,30.27574,0.56671,0.298632
SDSS J022039.66-004048.0,35.16528,-0.68002,
SDSS J022040.94-010410.8,35.17059,-1.06969,0.349651
2MASS J02204845-0842506,35.20196,-8.714,0.525088
SDSS J022509.75+001456.0,36.29065,0.24892,0.782
SDSS J023813.66-092431.4,39.55695,-9.40874,0.418957
SDSS J024157.36+000944.0,40.48901,0.16224,0.7896
FBQS J0243+0046,40.76223,0.77425,0.409185
SDSS J024540.77+004747.2,41.41989,0.79647,1.710406
SDSS J024716.82+001638.4,41.82008,0.27736,0.553
SDSS J025716.22-001433.5,44.3176,-0.24266,1.916903
SDSS J025743.72+011144.5,44.43219,1.1957,1.711153
SDSS J030235.77-075026.9,45.64909,-7.84082,
FBQS J0304-0054,46.14149,-0.90128,0.511311
SDSS J031127.78-072736.6,47.86577,-7.46017,0.926289
SDSS J031712.23-075850.3,49.30098,-7.98066,2.696254
2MASS J03234362-0111461,50.93174,-1.19616,2.075
2MASX J03521984-0550452,58.08272,-5.84578,0.033367
2MASS J07265954+3734232,111.748,37.57308,1.577
2MASS J07334680+4111196,113.44504,41.18889,0.67
2MASS J07370187+2846460,114.25781,28.77943,0.272197
2MASS J07405462+3226008,115.2275,32.43358,0.946
2MASS J07424293+3018364,115.67873,30.30993,0.494571
2MASS J07455918+2226508,116.4966,22.44748,0.351626
SDSS J075331.84+270415.3,118.38269,27.07094,1.659175
2MASX J07543702+3910477,118.65445,39.17995,0.096087
SDSS J075437.84+422115.3,118.65771,42.35427,1.96074
WISE J075445.66+482350.7,118.69029,48.39743,0.377142
SDSS J075551.44+352549.7,118.96435,35.4305,2.07046
SDSS J075602.72+414039.8,119.01136,41.67772,0.578974
SDSS J075936.13+132117.8,119.90056,13.35496,0.3864
2MASS J08001878+1645571,120.07831,16.76588,0.308
SDSS J080115.01+133642.2,120.31258,13.61173,0.415
SDSS J080131.15+532900.8,120.37982,53.48358,
SDSS J080204.81+100637.8,120.52007,10.11051,2.085
SDSS J080307.30+243750.8,120.78042,24.6308,2.145
SDSS J080323.01+481618.6,120.8459,48.27185,0.500127
SDSS J080615.30+133019.7,121.56377,13.50549,0.445
SDSS J080831.59+092304.0,122.13165,9.38446,
SDSS J080906.87+172955.1,122.27867,17.49867,2.95196
WISE J080949.19+521858.3,122.45494,52.31618,0.138
SDSS J081042.53+325401.4,122.67722,32.9004,
SDSS J081058.17+284618.6,122.74241,28.77184,0.27182
SDSS J081226.00+114158.5,123.10836,11.69959,0.335
SDSS J081231.27+282056.2,123.13032,28.34895,0.490576
