bname,ra,dec,btype,z,catalog
TeV J0218+359,02 21 05.5,+35 56 14,uncertain,0.944,tevcat
TeV J1224+213,12 24 54.4,+21 22 46,fsrq,0.432,tevcat
TeV J1512-091,15 12 52.2,-09 06 21.6,fsrq,0.361,tevcat
TeV J1256-057,12 56 11.1,-05 47 22,fsrq,0.5362,tevcat
TeV J0013-188,00 13 52.0,-18 53 29,bllac,0.095,tevcat
TeV J0550-322,05 50 38.4,-32 16 12.9,bllac,0.069,tevcat
TeV J1221+301,12 21 26.3,+30 11 29,bllac,0.182,tevcat
TeV J2158-302,21 58 52.7,-30 13 18,bllac,0.116,tevcat
TeV J1959+651,19 59 59.8,+65 08 55,bllac,0.048,tevcat
TeV J1428+426,14 28 32.6,+42 40 21,bllac,0.129,tevcat
TeV J2347+517,23 47 04.9,+51 42 17,bllac,0.044,tevcat
TeV J1653+397,16 53 52.2,+39 45 37,bllac,0.034,tevcat
TeV J1104+382,11 04 19,+38 11 41,bllac,0.031,tevcat
TeV J1315-426,13 14 58.5,-42 35 49,bllac,0.105,tevcat
TeV J1010-313,10 10 15.03,-31 18 18.4,bllac,0.142639,tevcat
TeV J0349-119,03 49 23.0,-11 58 38,bllac,0.188,tevcat
TeV J2250+384,22 50 06.6,+38 25 58,bllac,0.1187,tevcat
TeV J1103-234,11 03 36.5,-23 29 45,bllac,0.186,tevcat
TeV J1136+676,11 36 30.1,+67 37 04,bllac,0.1342,tevcat
TeV J0316+413,03 16 43.0,+41 19 29,bllac,0.0189,tevcat
TeV J1015+494,10 15 04.1,+49 26 01,bllac,0.212,tevcat
TeV J0152+017,01 52 33.5,+01 46 40.3,bllac,0.08,tevcat
TeV J0847+115,08 47 12.9,+11 33 50,bllac,0.198,tevcat
TeV J0648+152,06 48 45.6,+15 16 12,bllac,0.179,tevcat
TeV J0809+523,08 09 59,+52 19 00,bllac,0.138,tevcat
TeV J1555+111,15 55 44.7,+11 11 41,bllac,0.5,tevcat
